ANOVA table for Choice 1 :
              sum_sq        df         F        PR(>F)
choice_1    0.049264      15.0  6.223669  2.352687e-13
Residual  131.919379  249988.0       NaN           NaN

Tukey HSD test results for Choice 1:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
  FFIT-WFIT  WFIT-FFIT   0.0004 0.9889 -0.0006  0.0014  False
  FFIT-WFIT  WFIT-WFIT  -0.0005 0.9181 -0.0015  0.0005  False
 WFIT-AWFIT  WFIT-BFIT  -0.0005 0.7656 -0.0016  0.0005  False
 WFIT-AWFIT  WFIT-FFIT  -0.0008 0.1492 -0.0018  0.0002  False
 WFIT-AWFIT  WFIT-WFIT  -0.0016    0.0 -0.0027 -0.0006   True
  WFIT-BFIT  WFIT-FFIT  -0.0002 0.9999 -0.0013  0.0008  False
  WFIT-BFIT  WFIT-WFIT  -0.0011 0.0032 -0.0021 -0.0001   True
  WFIT-FFIT  WFIT-WFIT  -0.0008 0.0892 -0.0019  0.0002  False
-------------------------------------------------------------

ANOVA table for Choice 2 :
              sum_sq        df         F        PR(>F)
choice_2    0.049374      15.0  6.237641  2.149073e-13
Residual  131.919268  249988.0       NaN           NaN

Tukey HSD test results for Choice 2:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
AWFIT-AWFIT AWFIT-BFIT     -0.0    1.0  -0.001   0.001  False
AWFIT-AWFIT AWFIT-FFIT  -0.0003 0.9993 -0.0013  0.0007  False
AWFIT-AWFIT AWFIT-WFIT  -0.0008 0.1257 -0.0018  0.0002  False
AWFIT-AWFIT BFIT-AWFIT   0.0004 0.9443 -0.0006  0.0015  False
AWFIT-AWFIT  BFIT-BFIT  -0.0002    1.0 -0.0012  0.0008  False
AWFIT-AWFIT  BFIT-FFIT  -0.0011 0.0051 -0.0021    -0.0   True
AWFIT-AWFIT  BFIT-WFIT   0.0001    1.0 -0.0009  0.0011  False
