ANOVA table for Choice 1 :
             sum_sq        df          F        PR(>F)
choice_1   0.032010      15.0  22.472328  1.166753e-62
Residual  23.739296  249990.0        NaN           NaN

Tukey HSD test results for Choice 1:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
AWFIT-AWFIT  FFIT-BFIT  -0.0003  0.176 -0.0007  0.0001  False
AWFIT-AWFIT  FFIT-FFIT   0.0004 0.0116    -0.0  0.0008  False
AWFIT-AWFIT  FFIT-WFIT  -0.0009    0.0 -0.0014 -0.0005   True
AWFIT-AWFIT WFIT-AWFIT  -0.0001    1.0 -0.0005  0.0003  False
AWFIT-AWFIT  WFIT-BFIT   0.0002 0.5098 -0.0001  0.0006  False
AWFIT-AWFIT  WFIT-FFIT   0.0003 0.1601 -0.0001  0.0007  False
AWFIT-AWFIT  WFIT-WFIT  -0.0008    0.0 -0.0013 -0.0004   True
 AWFIT-BFIT AWFIT-FFIT  -0.0006    0.0  -0.001 -0.0002   True
 AWFIT-BFIT AWFIT-WFIT  -0.0024    0.0 -0.0029 -0.0019   True
 AWFIT-BFIT BFIT-AWFIT   -0.001    0.0 -0.0014 -0.0006   True
 AWFIT-BFIT  BFIT-BFIT   -0.001    0.0 -0.0014 -0.0006   True
 AWFIT-BFIT  BFIT-FFIT  -0.0009    0.0 -0.0013 -0.0005   True
 AWFIT-BFIT  BFIT-WFIT  -0.0025    0.0  -0.003  -0.002   True
 AWFIT-BFIT FFIT-AWFIT   -0.001    0.0 -0.0015 -0.0006   True
 AWFIT-BFIT  FFIT-BFIT  -0.0011    0.0 -0.0015 -0.0007   True
 AWFIT-BFIT  FFIT-FFIT  -0.0004 0.0178 -0.0008     0.0  False
 AWFIT-BFIT  FFIT-WFIT  -0.0017    0.0 -0.0022 -0.0012   True
 AWFIT-BFIT WFIT-AWFIT  -0.0008    0.0 -0.0012 -0.0004   True
 AWFIT-BFIT  WFIT-BFIT  -0.0005    0.0 -0.0009 -0.0001   True
 AWFIT-BFIT  WFIT-FFIT  -0.0005  0.002 -0.0009    -0.0   True
 AWFIT-BFIT  WFIT-WFIT  -0.0016    0.0 -0.0021 -0.0011   True
 AWFIT-FFIT AWFIT-WFIT  -0.0018    0.0 -0.0023 -0.0013   True
 AWFIT-FFIT BFIT-AWFIT  -0.0004 0.0365 -0.0008     0.0  False
 AWFIT-FFIT  BFIT-BFIT  -0.0004 0.0115 -0.0008     0.0  False
 AWFIT-FFIT  BFIT-FFIT  -0.0003 0.1012 -0.0007  0.0001  False
 AWFIT-FFIT  BFIT-WFIT  -0.0019    0.0 -0.0024 -0.0014   True
 AWFIT-FFIT FFIT-AWFIT  -0.0005 0.0022 -0.0009    -0.0   True
 AWFIT-FFIT  FFIT-BFIT  -0.0005 0.0003 -0.0009 -0.0001   True
 AWFIT-FFIT  FFIT-FFIT   0.0002 0.8385 -0.0002  0.0006  False
 AWFIT-FFIT  FFIT-WFIT  -0.0011    0.0 -0.0016 -0.0007   True
 AWFIT-FFIT WFIT-AWFIT  -0.0003 0.5425 -0.0007  0.0002  False
 AWFIT-FFIT  WFIT-BFIT   0.0001    1.0 -0.0003  0.0005  False
 AWFIT-FFIT  WFIT-FFIT   0.0001 0.9978 -0.0003  0.0006  False
 AWFIT-FFIT  WFIT-WFIT   -0.001    0.0 -0.0015 -0.0005   True
 AWFIT-WFIT BFIT-AWFIT   0.0014    0.0  0.0009  0.0019   True
 AWFIT-WFIT  BFIT-BFIT   0.0014    0.0  0.0009  0.0019   True
 AWFIT-WFIT  BFIT-FFIT   0.0015    0.0   0.001  0.0019   True
 AWFIT-WFIT  BFIT-WFIT  -0.0001    1.0 -0.0006  0.0004  False
 AWFIT-WFIT FFIT-AWFIT   0.0013    0.0  0.0009  0.0018   True
 AWFIT-WFIT  FFIT-BFIT   0.0013    0.0  0.0008  0.0018   True
 AWFIT-WFIT  FFIT-FFIT    0.002    0.0  0.0015  0.0025   True
 AWFIT-WFIT  FFIT-WFIT   0.0007 0.0002  0.0001  0.0012   True
