ANOVA table for Choice 1 :
              sum_sq        df         F    PR(>F)
choice_1    0.015724      15.0  2.514881  0.000992
Residual  104.201922  249984.0       NaN       NaN

Tukey HSD test results for Choice 1:
    Multiple Comparison of Means - Tukey HSD, FWER=0.01     
============================================================
   group1     group2   meandiff p-adj   lower  upper  reject
------------------------------------------------------------
  BFIT-BFIT FFIT-AWFIT   -0.001 0.0027 -0.0019 -0.0001   True
  BFIT-BFIT  FFIT-BFIT      0.0    1.0 -0.0009  0.0009  False
  BFIT-BFIT  FFIT-FFIT   0.0008 0.0548 -0.0001  0.0017  False
  BFIT-BFIT  FFIT-WFIT   0.0018    0.0  0.0009  0.0026   True
  BFIT-BFIT WFIT-AWFIT  -0.0003 0.9945 -0.0012  0.0006  False
  BFIT-BFIT  WFIT-BFIT   0.0003 0.9891 -0.0006  0.0012  False
  BFIT-BFIT  WFIT-FFIT  -0.0001    1.0  -0.001  0.0008  False
  BFIT-BFIT  WFIT-WFIT    0.001 0.0014  0.0001  0.0019   True
  BFIT-FFIT  BFIT-WFIT   0.0002 0.9999 -0.0007  0.0011  False
  BFIT-FFIT FFIT-AWFIT  -0.0016    0.0 -0.0025 -0.0007   True
  BFIT-FFIT  FFIT-BFIT  -0.0006 0.5431 -0.0015  0.0003  False
  BFIT-FFIT  FFIT-FFIT   0.0002    1.0 -0.0007  0.0011  False
  BFIT-FFIT  FFIT-WFIT   0.0012 0.0001  0.0003  0.0021   True
  BFIT-FFIT WFIT-AWFIT  -0.0009 0.0098 -0.0018    -0.0   True
  BFIT-FFIT  WFIT-BFIT  -0.0003 0.9992 -0.0012  0.0006  False
  BFIT-FFIT  WFIT-FFIT  -0.0007 0.1159 -0.0016  0.0002  False
  BFIT-FFIT  WFIT-WFIT   0.0004 0.9238 -0.0005  0.0013  False
  BFIT-WFIT FFIT-AWFIT  -0.0018    0.0 -0.0027 -0.0009   True
  BFIT-WFIT  FFIT-BFIT  -0.0008 0.0602 -0.0017  0.0001  False
  BFIT-WFIT  FFIT-FFIT     -0.0    1.0 -0.0009  0.0009  False
  BFIT-WFIT  FFIT-WFIT   0.0009 0.0065     0.0  0.0018   True
  BFIT-WFIT WFIT-AWFIT  -0.0011 0.0002  -0.002 -0.0002   True
  BFIT-WFIT  WFIT-BFIT  -0.0005 0.7719 -0.0014  0.0004  False
  BFIT-WFIT  WFIT-FFIT   -0.001 0.0043 -0.0019    -0.0   True
  BFIT-WFIT  WFIT-WFIT   0.0002    1.0 -0.0007  0.0011  False
 FFIT-AWFIT  FFIT-BFIT    0.001 0.0015  0.0001  0.0019   True
 FFIT-AWFIT  FFIT-FFIT   0.0017    0.0  0.0009  0.0026   True
 FFIT-AWFIT  FFIT-WFIT   0.0027    0.0  0.0018  0.0036   True
 FFIT-AWFIT WFIT-AWFIT   0.0007 0.2482 -0.0002  0.0016  False
 FFIT-AWFIT  WFIT-BFIT   0.0013    0.0  0.0004  0.0022   True
 FFIT-AWFIT  WFIT-FFIT   0.0008 0.0279 -0.0001  0.0017  False
 FFIT-AWFIT  WFIT-WFIT    0.002    0.0  0.0011  0.0029   True
  FFIT-BFIT  FFIT-FFIT   0.0007 0.0933 -0.0002  0.0016  False
  FFIT-BFIT  FFIT-WFIT   0.0017    0.0  0.0008  0.0026   True
  FFIT-BFIT WFIT-AWFIT  -0.0003 0.9842 -0.0012  0.0006  False
  FFIT-BFIT  WFIT-BFIT   0.0003 0.9969 -0.0006  0.0012  False
  FFIT-BFIT  WFIT-FFIT  -0.0002    1.0 -0.0011  0.0007  False
  FFIT-BFIT  WFIT-WFIT    0.001  0.003  0.0001  0.0019   True
  FFIT-FFIT  FFIT-WFIT    0.001 0.0029  0.0001  0.0019   True
  FFIT-FFIT WFIT-AWFIT  -0.0011 0.0003  -0.002 -0.0002   True
  FFIT-FFIT  WFIT-BFIT  -0.0005 0.8595 -0.0014  0.0005  False
  FFIT-FFIT  WFIT-FFIT  -0.0009 0.0076 -0.0018    -0.0   True
  FFIT-FFIT  WFIT-WFIT   0.0002 0.9999 -0.0007  0.0011  False
  FFIT-WFIT WFIT-AWFIT  -0.0021    0.0  -0.003 -0.0012   True
  FFIT-WFIT  WFIT-BFIT  -0.0014    0.0 -0.0023 -0.0005   True
  FFIT-WFIT  WFIT-FFIT  -0.0019    0.0 -0.0028  -0.001   True
  FFIT-WFIT  WFIT-WFIT  -0.0007 0.0917 -0.0016  0.0002  False
 WFIT-AWFIT  WFIT-BFIT   0.0006 0.3022 -0.0003  0.0015  False
 WFIT-AWFIT  WFIT-FFIT   0.0002    1.0 -0.0007  0.0011  False
 WFIT-AWFIT  WFIT-WFIT   0.0013    0.0  0.0004  0.0022   True
  WFIT-BFIT  WFIT-FFIT  -0.0005 0.8258 -0.0014  0.0004  False
  WFIT-BFIT  WFIT-WFIT   0.0007 0.2188 -0.0002  0.0016  False
  WFIT-FFIT  WFIT-WFIT   0.0011 0.0001  0.0002   0.002   True
-------------------------------------------------------------

ANOVA table for Choice 3 :
              sum_sq        df          F  PR(>F)
choice_3    1.839381      15.0  299.42273     0.0
Residual  102.378266  249984.0        NaN     NaN

Tukey HSD test results for Choice 3:
     Multiple Comparison of Means - Tukey HSD, FWER=0.01     
=============================================================
   group1     group2   meandiff p-adj   lower   upper  reject
-------------------------------------------------------------
AWFIT-AWFIT AWFIT-BFIT   0.0014    0.0  0.0005  0.0023   True
AWFIT-AWFIT AWFIT-FFIT  -0.0002 0.9995 -0.0011  0.0006  False
AWFIT-AWFIT AWFIT-WFIT  -0.0066    0.0 -0.0075 -0.0057   True
AWFIT-AWFIT BFIT-AWFIT   0.0006 0.4661 -0.0003  0.0015  False
AWFIT-AWFIT  BFIT-BFIT   0.0027    0.0  0.0018  0.0035   True
AWFIT-AWFIT  BFIT-FFIT  -0.0001    1.0  -0.001  0.0008  False
AWFIT-AWFIT  BFIT-WFIT   -0.006    0.0 -0.0069 -0.0051   True
AWFIT-AWFIT FFIT-AWFIT      0.0    1.0 -0.0009  0.0009  False
AWFIT-AWFIT  FFIT-BFIT   0.0017    0.0  0.0008  0.0026   True
AWFIT-AWFIT  FFIT-FFIT  -0.0007 0.1853 -0.0016  0.0002  False
AWFIT-AWFIT  FFIT-WFIT  -0.0064    0.0 -0.0073 -0.0055   True
AWFIT-AWFIT WFIT-AWFIT  -0.0019    0.0 -0.0028  -0.001   True
AWFIT-AWFIT  WFIT-BFIT  -0.0011 0.0002  -0.002 -0.0002   True
AWFIT-AWFIT  WFIT-FFIT  -0.0023    0.0 -0.0032 -0.0014   True
AWFIT-AWFIT  WFIT-WFIT   -0.002    0.0 -0.0029 -0.0011   True
 AWFIT-BFIT AWFIT-FFIT  -0.0016    0.0 -0.0025 -0.0008   True
 AWFIT-BFIT AWFIT-WFIT   -0.008    0.0 -0.0089 -0.0071   True
 AWFIT-BFIT BFIT-AWFIT  -0.0008  0.024 -0.0017  0.0001  False
 AWFIT-BFIT  BFIT-BFIT   0.0013    0.0  0.0004  0.0021   True
 AWFIT-BFIT  BFIT-FFIT  -0.0015    0.0 -0.0023 -0.0006   True
 AWFIT-BFIT  BFIT-WFIT  -0.0074    0.0 -0.0082 -0.0065   True
 AWFIT-BFIT FFIT-AWFIT  -0.0014    0.0 -0.0022 -0.0005   True
 AWFIT-BFIT  FFIT-BFIT   0.0003 0.9877 -0.0006  0.0012  False
 AWFIT-BFIT  FFIT-FFIT  -0.0021    0.0 -0.0029 -0.0012   True
 AWFIT-BFIT  FFIT-WFIT  -0.0078    0.0 -0.0087 -0.0069   True
 AWFIT-BFIT WFIT-AWFIT  -0.0033    0.0 -0.0042 -0.0024   True
 AWFIT-BFIT  WFIT-BFIT  -0.0025    0.0 -0.0034 -0.0016   True
 AWFIT-BFIT  WFIT-FFIT  -0.0037    0.0 -0.0046 -0.0028   True
 AWFIT-BFIT  WFIT-WFIT  -0.0034    0.0 -0.0043 -0.0025   True
 AWFIT-FFIT AWFIT-WFIT  -0.0064    0.0 -0.0073 -0.0055   True
 AWFIT-FFIT BFIT-AWFIT   0.0008 0.0251 -0.0001  0.0017  False
 AWFIT-FFIT  BFIT-BFIT   0.0029    0.0   0.002  0.0038   True
 AWFIT-FFIT  BFIT-FFIT   0.0002    1.0 -0.0007   0.001  False
 AWFIT-FFIT  BFIT-WFIT  -0.0057    0.0 -0.0066 -0.0048   True
 AWFIT-FFIT FFIT-AWFIT   0.0003 0.9979 -0.0006  0.0012  False
 AWFIT-FFIT  FFIT-BFIT    0.002    0.0  0.0011  0.0029   True
 AWFIT-FFIT  FFIT-FFIT  -0.0004 0.8702 -0.0013  0.0004  False
 AWFIT-FFIT  FFIT-WFIT  -0.0061    0.0  -0.007 -0.0052   True
 AWFIT-FFIT WFIT-AWFIT  -0.0016    0.0 -0.0025 -0.0007   True
 AWFIT-FFIT  WFIT-BFIT  -0.0008 0.0172 -0.0017     0.0  False
 AWFIT-FFIT  WFIT-FFIT  -0.0021    0.0 -0.0029 -0.0012   True
 AWFIT-FFIT  WFIT-WFIT  -0.0017    0.0 -0.0026 -0.0009   True
 AWFIT-WFIT BFIT-AWFIT   0.0072    0.0  0.0063  0.0081   True
 AWFIT-WFIT  BFIT-BFIT   0.0093    0.0  0.0084  0.0102   True
 AWFIT-WFIT  BFIT-FFIT   0.0066    0.0  0.0057  0.0075   True
 AWFIT-WFIT  BFIT-WFIT   0.0007 0.2253 -0.0002  0.0016  False
